timestamp,seconds,video,eat,drink,activity
21:12:04,27,0,1,0,0
,,,,,
21:12:05,27.5,0.5,1,0,0
,,,,,
21:12:06,28,1,1,0,0
,,,,,
21:12:07,28.5,1.5,1,0,0
,,,,,
21:12:08,29,2,1,0,0
,,,,,
21:12:09,29.5,2.5,1,0,0
,,,,,
21:12:10,30,3,1,0,0
,,,,,
21:12:11,30.5,3.5,1,0,0
,,,,,
21:12:12,31,4,1,0,0
,,,,,
21:12:13,31.5,4.5,1,0,0
,,,,,
21:12:14,32,5,1,0,0
,,,,,
21:12:15,32.5,5.5,1,0,0
,,,,,
21:12:16,33,6,1,0,0
,,,,,
21:12:17,33.5,6.5,1,0,0
,,,,,
21:12:18,34,7,1,0,0
,,,,,
21:12:19,34.5,7.5,1,0,0
,,,,,
21:12:20,35,8,1,0,0
,,,,,
21:12:21,35.5,8.5,1,0,0
,,,,,
21:12:22,36,9,1,0,0
,,,,,
21:12:23,36.5,9.5,1,0,0
,,,,,
21:12:24,37,10,1,0,0
,,,,,
21:12:25,37.5,10.5,1,0,0
,,,,,
21:12:26,38,11,1,0,0
,,,,,
21:12:27,38.5,11.5,1,0,0
,,,,,
21:12:28,39,12,1,0,0
,,,,,
21:12:29,39.5,12.5,1,0,0
,,,,,
21:12:30,40,13,1,0,0
,,,,,
21:12:31,40.5,13.5,1,0,0
,,,,,
21:12:32,41,14,1,0,0
,,,,,
21:12:33,41.5,14.5,1,0,0
,,,,,
21:12:34,42,15,1,0,0
,,,,,
21:12:35,42.5,15.5,1,0,0
,,,,,
21:12:36,43,16,1,0,0
,,,,,
21:12:37,43.5,16.5,1,0,0
,,,,,
21:12:38,44,17,1,0,0
,,,,,
21:12:39,44.5,17.5,1,0,0
,,,,,
21:12:40,45,18,1,0,0
,,,,,
21:12:41,45.5,18.5,1,0,0
,,,,,
21:12:42,46,19,1,0,0
,,,,,
21:12:43,46.5,19.5,1,0,0
,,,,,
21:12:44,47,20,1,0,0
,,,,,
21:12:45,47.5,20.5,1,0,0
,,,,,
21:12:46,48,21,1,0,0
,,,,,
21:12:47,48.5,21.5,1,0,0
,,,,,
21:12:48,49,22,1,0,0
,,,,,
21:12:49,49.5,22.5,1,0,0
,,,,,
21:12:50,50,23,1,0,0
,,,,,
21:12:51,50.5,23.5,1,0,0
,,,,,
21:12:52,51,24,1,0,0
,,,,,
21:12:53,51.5,24.5,1,0,0
,,,,,
21:12:54,52,25,1,0,0
,,,,,
21:12:55,52.5,25.5,1,0,0
,,,,,
21:12:56,53,26,1,0,0
,,,,,
21:12:57,53.5,26.5,1,0,0
,,,,,
21:12:58,54,27,1,0,0
,,,,,
21:12:59,54.5,27.5,1,0,0
,,,,,
21:13:00,55,28,1,0,0
,,,,,
21:13:01,55.5,28.5,1,0,0
,,,,,
21:13:02,56,29,1,0,0
,,,,,
21:13:03,56.5,29.5,1,0,0
,,,,,
21:13:04,57,30,1,0,0
,,,,,
21:13:05,57.5,30.5,1,0,0
,,,,,
21:13:06,58,31,1,0,0
,,,,,
21:13:07,58.5,31.5,1,0,0
,,,,,
21:13:08,59,32,1,0,0
,,,,,
21:13:09,59.5,32.5,1,0,0
,,,,,
21:13:10,60,33,1,0,0
,,,,,
21:13:11,60.5,33.5,1,0,0
,,,,,
21:13:12,61,34,1,0,0
,,,,,
21:13:13,61.5,34.5,1,0,0
,,,,,
21:13:14,62,35,1,0,0
,,,,,
21:13:15,62.5,35.5,1,0,0
,,,,,
21:13:16,63,36,1,0,0
,,,,,
21:13:17,63.5,36.5,1,0,0
,,,,,
21:13:18,64,37,1,0,0
,,,,,
